Julian Day,Level0,Level1,Level2
1,3.5,3.4,3.4
2,3.5,3.4,3.4
3,3.5,3.4,3.4
4,3.5,3.4,3.4
5,3.5,3.4,3.4
6,3.5,3.4,3.4
7,3.5,3.4,3.4
8,3.5,3.4,3.4
9,3.5,3.4,3.4
10,3.5,3.4,3.4
11,3.5,3.4,3.4
12,3.5,3.4,3.4
13,3.5,3.4,3.4
14,3.5,3.4,3.4
15,3.5,3.4,3.4
16,3.5,3.4,3.4
17,3.5,3.4,3.4
18,3.5,3.4,3.4
19,3.5,3.4,3.4
20,3.5,3.4,3.4
21,3.5,3.4,3.4
22,3.5,3.4,3.4
23,3.5,3.4,3.4
24,3.5,3.4,3.4
25,3.5,3.4,3.4
26,3.5,3.4,3.4
27,3.5,3.4,3.4
28,3.5,3.4,3.4
29,3.5,3.4,3.4
30,3.5,3.4,3.4
31,3.5,3.4,3.4
32,3.5,3.4,3.4
33,3.5,3.4,3.4
34,3.5,3.4,3.4
35,3.5,3.4,3.4
36,3.5,3.4,3.4
37,3.5,3.4,3.4
38,3.5,3.4,3.4
39,3.5,3.4,3.4
40,3.5,3.4,3.4
41,3.5,3.4,3.4
42,3.5,3.4,3.4
43,3.5,3.4,3.4
44,3.5,3.4,3.4
45,3.5,3.4,3.4
46,3.5,3.4,3.4
47,3.5,3.4,3.4
48,3.5,3.4,3.4
49,3.5,3.4,3.4
50,3.5,3.4,3.4
51,3.5,3.4,3.4
52,3.5,3.4,3.4
53,3.5,3.4,3.4
54,3.5,3.4,3.4
55,3.5,3.4,3.4
56,3.5,3.4,3.4
57,3.5,3.4,3.4
58,3.5,3.4,3.4
59,3.5,3.4,3.4
60,7.5,6.4,5.4
61,7.5,6.4,5.4
62,7.5,6.4,5.4
63,7.5,6.4,5.4
64,7.5,6.4,5.4
65,7.5,6.4,5.4
66,7.5,6.4,5.4
67,7.5,6.4,5.4
68,7.5,6.4,5.4
69,7.5,6.4,5.4
70,7.5,6.4,5.4
71,7.5,6.4,5.4
72,7.5,6.4,5.4
73,7.5,6.4,5.4
74,7.5,6.4,5.4
75,7.5,6.4,5.4
76,7.5,6.4,5.4
77,7.5,6.4,5.4
78,7.5,6.4,5.4
79,7.5,6.4,5.4
80,7.5,6.4,5.4
81,7.5,6.4,5.4
82,7.5,6.4,5.4
83,7.5,6.4,5.4
84,7.5,6.4,5.4
85,7.5,6.4,5.4
86,7.5,6.4,5.4
87,7.5,6.4,5.4
88,7.5,6.4,5.4
89,7.5,6.4,5.4
90,7.5,6.4,5.4
91,8,8,5.6
92,8,8,5.6
93,8,8,5.6
94,8,8,5.6
95,8,8,5.6
96,8,8,5.6
97,8,8,5.6
98,8,8,5.6
99,8,8,5.6
100,8,8,5.6
101,8,8,5.6
102,8,8,5.6
103,8,8,5.6
104,8,8,5.6
105,8,8,5.6
106,8,8,5.6
107,8,8,5.6
108,8,8,5.6
109,8,8,5.6
110,8,8,5.6
111,8,8,5.6
112,8,8,5.6
113,8,8,5.6
114,8,8,5.6
115,8,8,5.6
116,8,8,5.6
117,8,8,5.6
118,8,8,5.6
119,8,8,5.6
120,8,8,5.6
121,4.5,4.5,3.9
122,4.5,4.5,3.9
123,4.5,4.5,3.9
124,4.5,4.5,3.9
125,4.5,4.5,3.9
126,4.5,4.5,3.9
127,4.5,4.5,3.9
128,4.5,4.5,3.9
129,4.5,4.5,3.9
130,4.5,4.5,3.9
131,4.5,4.5,3.9
132,4.5,4.5,3.9
133,4.5,4.5,3.9
134,4.5,4.5,3.9
135,4.5,4.5,3.9
136,4.5,4.5,3.9
137,4.5,4.5,3.9
138,4.5,4.5,3.9
139,4.5,4.5,3.9
140,4.5,4.5,3.9
141,4.5,4.5,3.9
142,4.5,4.5,3.9
143,4.5,4.5,3.9
144,4.5,4.5,3.9
145,4.5,4.5,3.9
146,4.5,4.5,3.9
147,4.5,4.5,3.9
148,4.5,4.5,3.9
149,4.5,4.5,3.9
150,4.5,4.5,3.9
151,4.5,4.5,3.9
152,4,4,3.6
153,4,4,3.6
154,4,4,3.6
155,4,4,3.6
156,4,4,3.6
157,4,4,3.6
158,4,4,3.6
159,4,4,3.6
160,4,4,3.6
161,4,4,3.6
162,4,4,3.6
163,4,4,3.6
164,4,4,3.6
165,4,4,3.6
166,4,4,3.6
167,4,4,3.6
168,4,4,3.6
169,4,4,3.6
170,4,4,3.6
171,4,4,3.6
172,4,4,3.6
173,4,4,3.6
174,4,4,3.6
175,4,4,3.6
176,4,4,3.6
177,4,4,3.6
178,4,4,3.6
179,4,4,3.6
180,4,4,3.6
181,4,4,3.6
182,4,4,3.6
183,4,4,3.6
184,4,4,3.6
185,4,4,3.6
186,4,4,3.6
187,4,4,3.6
188,4,4,3.6
189,4,4,3.6
190,4,4,3.6
191,4,4,3.6
192,4,4,3.6
193,4,4,3.6
194,4,4,3.6
195,4,4,3.6
196,4,4,3.6
197,4,4,3.6
198,4,4,3.6
199,4,4,3.6
200,4,4,3.6
201,4,4,3.6
202,4,4,3.6
203,4,4,3.6
204,4,4,3.6
205,4,4,3.6
206,4,4,3.6
207,4,4,3.6
208,4,4,3.6
209,4,4,3.6
210,4,4,3.6
211,4,4,3.6
212,4,4,3.6
213,4.5,4.5,3.9
214,4.5,4.5,3.9
215,4.5,4.5,3.9
216,4.5,4.5,3.9
217,4.5,4.5,3.9
218,4.5,4.5,3.9
219,4.5,4.5,3.9
220,4.5,4.5,3.9
221,4.5,4.5,3.9
222,4.5,4.5,3.9
223,4.5,4.5,3.9
224,4.5,4.5,3.9
225,4.5,4.5,3.9
226,4.5,4.5,3.9
227,4.5,4.5,3.9
228,4.5,4.5,3.9
229,4.5,4.5,3.9
230,4.5,4.5,3.9
231,4.5,4.5,3.9
232,4.5,4.5,3.9
233,4.5,4.5,3.9
234,4.5,4.5,3.9
235,4.5,4.5,3.9
236,4.5,4.5,3.9
237,4.5,4.5,3.9
238,4.5,4.5,3.9
239,4.5,4.5,3.9
240,4.5,4.5,3.9
241,4.5,4.5,3.9
242,4.5,4.5,3.9
243,4.5,4.5,3.9
244,6,5.3,4.6
245,6,5.3,4.6
246,6,5.3,4.6
247,6,5.3,4.6
248,6,5.3,4.6
249,6,5.3,4.6
250,6,5.3,4.6
251,6,5.3,4.6
252,6,5.3,4.6
253,6,5.3,4.6
254,6,5.3,4.6
255,6,5.3,4.6
256,6,5.3,4.6
257,6,5.3,4.6
258,6,5.3,4.6
259,6,5.3,4.6
260,6,5.3,4.6
261,6,5.3,4.6
262,6,5.3,4.6
263,6,5.3,4.6
264,6,5.3,4.6
265,6,5.3,4.6
266,6,5.3,4.6
267,6,5.3,4.6
268,6,5.3,4.6
269,6,5.3,4.6
270,6,5.3,4.6
271,6,5.3,4.6
272,6,5.3,4.6
273,6,5.3,4.6
274,8.5,7.2,5.9
275,8.5,7.2,5.9
276,8.5,7.2,5.9
277,8.5,7.2,5.9
278,8.5,7.2,5.9
279,8.5,7.2,5.9
280,8.5,7.2,5.9
281,8.5,7.2,5.9
282,8.5,7.2,5.9
283,8.5,7.2,5.9
284,8.5,7.2,5.9
285,8.5,7.2,5.9
286,8.5,7.2,5.9
287,8.5,7.2,5.9
288,8.5,7.2,5.9
289,8.5,7.2,5.9
290,8.5,7.2,5.9
291,8.5,7.2,5.9
292,8.5,7.2,5.9
293,8.5,7.2,5.9
294,8.5,7.2,5.9
295,8.5,7.2,5.9
296,8.5,7.2,5.9
297,8.5,7.2,5.9
298,8.5,7.2,5.9
299,8.5,7.2,5.9
300,8.5,7.2,5.9
301,8.5,7.2,5.9
302,8.5,7.2,5.9
303,8.5,7.2,5.9
304,8.5,7.2,5.9
305,7,6.1,5.1
306,7,6.1,5.1
307,7,6.1,5.1
308,7,6.1,5.1
309,7,6.1,5.1
310,7,6.1,5.1
311,7,6.1,5.1
312,7,6.1,5.1
313,7,6.1,5.1
314,7,6.1,5.1
315,7,6.1,5.1
316,7,6.1,5.1
317,7,6.1,5.1
318,7,6.1,5.1
319,7,6.1,5.1
320,7,6.1,5.1
321,7,6.1,5.1
322,7,6.1,5.1
323,7,6.1,5.1
324,7,6.1,5.1
325,7,6.1,5.1
326,7,6.1,5.1
327,7,6.1,5.1
328,7,6.1,5.1
329,7,6.1,5.1
330,7,6.1,5.1
331,7,6.1,5.1
332,7,6.1,5.1
333,7,6.1,5.1
334,7,6.1,5.1
335,6,5.3,4.6
336,6,5.3,4.6
337,6,5.3,4.6
338,6,5.3,4.6
339,6,5.3,4.6
340,6,5.3,4.6
341,6,5.3,4.6
342,6,5.3,4.6
343,6,5.3,4.6
344,6,5.3,4.6
345,6,5.3,4.6
346,6,5.3,4.6
347,6,5.3,4.6
348,6,5.3,4.6
349,6,5.3,4.6
350,6,5.3,4.6
351,6,5.3,4.6
352,6,5.3,4.6
353,6,5.3,4.6
354,6,5.3,4.6
355,6,5.3,4.6
356,6,5.3,4.6
357,6,5.3,4.6
358,6,5.3,4.6
359,6,5.3,4.6
360,6,5.3,4.6
361,6,5.3,4.6
362,6,5.3,4.6
363,6,5.3,4.6
364,6,5.3,4.6
365,6,5.3,4.6
366,6,5.3,4.6
